# x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_O2, Y_N2, Y_H2O
0.00000000e+00,4.04897821e+00,-6.12633746e-02,8.54567169e+06,2.64920652e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e-01,4.04897821e+00,6.12633746e-02,8.54567169e+06,2.64920652e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
2.00200200e-01,4.04870078e+00,2.85666996e-01,8.54486096e+06,2.64913670e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
3.00300300e-01,4.04814309e+00,5.57816066e-01,8.54365646e+06,2.64909165e+03,1.18503559e-01,5.83347857e-07,6.00017649e-01,2.81491998e-01
4.00400400e-01,4.04770671e+00,8.75102544e-01,8.54316486e+06,2.64915686e+03,1.18506598e-01,5.83362817e-07,6.00033037e-01,2.81499217e-01
5.00500501e-01,4.04743518e+00,9.32096900e-01,8.54020621e+06,2.64860002e+03,1.18498413e-01,5.83322522e-07,5.99991590e-01,2.81479773e-01
6.00600601e-01,4.04734837e+00,9.24866659e-01,8.54102328e+06,2.64881552e+03,1.18502650e-01,5.83343381e-07,6.00013045e-01,2.81489838e-01
7.00700701e-01,4.04731223e+00,9.11210041e-01,8.54010234e+06,2.64861946e+03,1.18499702e-01,5.83328868e-07,5.99998117e-01,2.81482835e-01
8.00800801e-01,4.04726170e+00,8.19587806e-01,8.54038428e+06,2.64870021e+03,1.18501480e-01,5.83337623e-07,6.00007122e-01,2.81487060e-01
9.00900901e-01,4.04721931e+00,8.00635725e-01,8.54034474e+06,2.64870574e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.00100100e+00,4.04727798e+00,8.60101597e-01,8.54048996e+06,2.64871239e+03,1.18501925e-01,5.83339813e-07,6.00009375e-01,2.81488116e-01
1.10110110e+00,4.04714257e+00,8.55360833e-01,8.53891092e+06,2.64841055e+03,1.18497483e-01,5.83317945e-07,5.99986883e-01,2.81477564e-01
1.20120120e+00,4.04689932e+00,9.71496992e-01,8.54007802e+06,2.64876886e+03,1.18504770e-01,5.83353818e-07,6.00023781e-01,2.81494875e-01
